leak_size,leak_location,length,pressure,flow_rate
1,51,0,173101.8549,4219
1,51,616,172738.2604,4176.81
1,51,1232,172375.2762,4176.81
2,51,0,173087.7648,4219
2,51,616,172730.8623,4134.62
2,51,1232,172375.174,4134.62
5,51,0,173046.3528,4219
5,51,616,172709.1185,4008.05
5,51,1232,172374.8737,4008.05
8,51,0,173006.2283,4219
8,51,616,172688.0507,3881.48
8,51,1232,172374.5828,3881.48
10,51,0,172980.1939,4219
10,51,616,172674.381,3797.1
10,51,1232,172374.394,3797.1
15,51,0,172917.6111,4219
15,51,616,172641.5212,3586.15
15,51,1232,172373.9403,3586.15
18,51,0,172881.7779,4219
18,51,616,172622.7067,3459.58
18,51,1232,172373.6804,3459.58
20,51,0,172858.6044,4219
20,51,616,172610.5392,3375.2
20,51,1232,172373.5124,3375.2
25,51,0,172803.1739,4219
25,51,616,172581.4348,3164.25
25,51,1232,172373.1105,3164.25
28,51,0,172771.6322,4219
28,51,616,172564.8735,3037.68
28,51,1232,172372.8818,3037.68
30,51,0,172751.3196,4219
30,51,616,172554.2081,2953.3
30,51,1232,172372.7345,2953.3
1,112,0,173102.5847,4219
1,112,616,172738.2604,4176.81
1,112,1232,172375.2762,4176.81
2,112,0,173089.2171,4219
2,112,616,172730.8623,4134.62
2,112,1232,172375.174,4134.62
5,112,0,173049.9286,4219
5,112,616,172709.1185,4008.05
5,112,1232,172374.8737,4008.05
8,112,0,173011.8616,4219
8,112,616,172688.0507,3881.48
8,112,1232,172374.5828,3881.48
10,112,0,172987.1621,4219
10,112,616,172674.381,3797.1
10,112,1232,172374.394,3797.1
15,112,0,172927.7883,4219
15,112,616,172641.5212,3586.15
15,112,1232,172373.9403,3586.15
18,112,0,172893.7926,4219
18,112,616,172622.7067,3459.58
18,112,1232,172373.6804,3459.58
20,112,0,172871.8073,4219
20,112,616,172610.5392,3375.2
20,112,1232,172373.5124,3375.2
25,112,0,172819.2191,4219
25,112,616,172581.4348,3164.25
25,112,1232,172373.1105,3164.25
28,112,0,172789.2947,4219
28,112,616,172564.8735,3037.68
28,112,1232,172372.8818,3037.68
30,112,0,172770.0237,4219
30,112,616,172554.2081,2953.3
30,112,1232,172372.7345,2953.3
1,162,0,173103.1829,4219
1,162,616,172738.2604,4176.81
1,162,1232,172375.2762,4176.81
2,162,0,173090.4075,4219
2,162,616,172730.8623,4134.62
2,162,1232,172375.174,4134.62
5,162,0,173052.8596,4219
5,162,616,172709.1185,4008.05
5,162,1232,172374.8737,4008.05
8,162,0,173016.479,4219
8,162,616,172688.0507,3881.48
8,162,1232,172374.5828,3881.48
10,162,0,172992.8737,4219
10,162,616,172674.381,3797.1
10,162,1232,172374.394,3797.1
15,162,0,172936.1303,4219
15,162,616,172641.5212,3586.15
15,162,1232,172373.9403,3586.15
18,162,0,172903.6406,4219
18,162,616,172622.7067,3459.58
18,162,1232,172373.6804,3459.58
20,162,0,172882.6293,4219
20,162,616,172610.5392,3375.2
20,162,1232,172373.5124,3375.2
25,162,0,172832.3709,4219
25,162,616,172581.4348,3164.25
25,162,1232,172373.1105,3164.25
28,162,0,172803.7722,4219
28,162,616,172564.8735,3037.68
28,162,1232,172372.8818,3037.68
30,162,0,172785.3549,4219
30,162,616,172554.2081,2953.3
30,162,1232,172372.7345,2953.3
1,224,0,173103.9247,4219
1,224,616,172738.2604,4176.81
1,224,1232,172375.2762,4176.81
2,224,0,173091.8837,4219
2,224,616,172730.8623,4134.62
2,224,1232,172375.174,4134.62
5,224,0,173056.494,4219
5,224,616,172709.1185,4008.05
5,224,1232,172374.8737,4008.05
8,224,0,173022.2045,4219
8,224,616,172688.0507,3881.48
8,224,1232,172374.5828,3881.48
10,224,0,172999.9561,4219
10,224,616,172674.381,3797.1
10,224,1232,172374.394,3797.1
15,224,0,172946.4743,4219
15,224,616,172641.5212,3586.15
15,224,1232,172373.9403,3586.15
18,224,0,172915.8522,4219
